Department,JobRole,Age Band,Age,Business Unit,Attrition,BusinessTravel,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,Job Type,MaritalStatus,MonthlyIncome  ,NumCompaniesWorked,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Sick Days,Balance Days
Research & Development,Healthcare Representative,45 - 54,48,Pune,No,Travel_Rarely,Life Sciences,1,Male,2,Very High,Full Time,Single,4240,2,No,Low,Best,2,2,2,2,6
Research & Development,Healthcare Representative,45 - 54,48,Banglore,No,Travel_Rarely,Life Sciences,3,Male,3,High,Part Time,Single,10999,7,No,Good,Good,15,11,4,1,12
Research & Development,Manufacturing Director,35 - 44,41,Mumbai,No,Travel_Rarely,Medical,4,Female,2,Medium,Part Time,Single,5003,6,No,Low,Bad,2,2,2,9,14
Research & Development,Manufacturing Director,35 - 44,39,Hyderabad,No,Travel_Rarely,Life Sciences,4,Female,4,Very High,Part Time,Married,12742,1,No,Low,Bad,21,6,11,7,8
Research & Development,Manufacturing Director,25 - 34,27,Hyderabad,No,Travel_Rarely,Life Sciences,1,Female,2,High,Part Time,Married,4227,0,No,Outstanding,Best,3,2,2,2,6
Research & Development,Laboratory Technician,35 - 44,35,Hyderabad,No,Travel_Rarely,Other,2,Male,1,Very High,Full Time,Divorced,3917,1,No,Low,Bad,3,2,1,10,10
Sales,Manager,35 - 44,42,Hyderabad,No,Travel_Rarely,Marketing,4,Male,5,Low,Part Time,Married,18303,6,No,Outstanding,Best,1,0,0,7,9
Research & Development,Laboratory Technician,45 - 54,50,Banglore,No,Travel_Rarely,Life Sciences,1,Male,1,Very High,Full Time,Married,2380,4,No,Outstanding,Better,1,0,0,12,16
Research & Development,Manufacturing Director,Over 55,59,Pune,No,Travel_Rarely,Life Sciences,3,Female,4,Medium,Part Time,Single,13726,3,Yes,Excellent,Best,5,3,4,11,18
Research & Development,Healthcare Representative,35 - 44,37,Mumbai,Yes,Travel_Rarely,Medical,1,Female,2,Low,Full Time,Married,4777,5,No,Excellent,Good,1,0,0,11,17
Research & Development,Healthcare Representative,Over 55,55,Banglore,No,Travel_Frequently,Medical,3,Male,2,Low,Full Time,Married,6385,3,Yes,Low,Better,8,7,6,6,12
Research & Development,Research Director,35 - 44,41,Pune,No,Non-Travel,Life Sciences,2,Female,5,High,Full Time,Divorced,19973,1,No,Outstanding,Best,21,16,5,12,9
Sales,Sales Executive,35 - 44,38,Pune,No,Travel_Rarely,Life Sciences,2,Male,2,High,Full Time,Single,6861,8,Yes,Good,Good,1,0,0,3,5
Sales,Sales Executive,25 - 34,26,Hyderabad,Yes,Non-Travel,Medical,2,Male,2,Medium,Part Time,Single,4969,8,No,Outstanding,Best,2,2,2,11,17
Sales,Manager,45 - 54,52,Mumbai,Yes,Travel_Rarely,Marketing,1,Female,5,Medium,Full Time,Married,19845,1,No,Excellent,Better,32,14,6,6,17
Sales,Sales Executive,35 - 44,44,Pune,No,Travel_Rarely,Medical,4,Female,4,Very High,Part Time,Married,13320,3,Yes,Good,Good,12,11,11,3,11
Sales,Sales Executive,45 - 54,50,Mumbai,No,Non-Travel,Life Sciences,4,Female,2,Very High,Part Time,Married,6347,0,No,Good,Bad,18,7,0,12,16
Research & Development,Laboratory Technician,35 - 44,36,Pune,Yes,Travel_Rarely,Life Sciences,3,Female,1,Very High,Part Time,Single,2743,1,No,Outstanding,Good,17,13,15,10,19
Research & Development,Manufacturing Director,35 - 44,39,Pune,No,Travel_Frequently,Medical,4,Female,3,Very High,Full Time,Single,10880,1,Yes,Excellent,Good,21,6,2,8,6
Sales,Sales Representative,25 - 34,33,Mumbai,No,Non-Travel,Life Sciences,2,Female,1,Very High,Full Time,Single,2342,0,No,Good,Good,2,2,2,2,11
Sales,Manager,45 - 54,45,Banglore,No,Travel_Rarely,Life Sciences,4,Female,4,Medium,Full Time,Married,17650,3,No,Excellent,Best,9,3,1,8,16
Research & Development,Laboratory Technician,25 - 34,32,Banglore,No,Non-Travel,Medical,4,Female,1,Low,Part Time,Single,4025,9,No,Good,Bad,8,7,7,11,14
Sales,Sales Executive,25 - 34,34,Hyderabad,No,Travel_Rarely,Marketing,2,Male,2,High,Full Time,Divorced,9725,0,No,Good,Better,15,1,0,3,13
Sales,Manager,Over 55,59,Mumbai,No,Travel_Rarely,Technical Degree,2,Male,3,High,Full Time,Married,11904,3,Yes,Outstanding,Good,6,4,0,5,8
Human Resources,Human Resources,45 - 54,45,Mumbai,No,Travel_Rarely,Medical,2,Male,1,Very High,Full Time,Single,2177,1,No,Excellent,Best,6,3,0,5,20
Sales,Sales Executive,45 - 54,53,Mumbai,No,Travel_Frequently,Marketing,3,Female,3,Low,Full Time,Married,7525,2,No,Low,Better,15,7,6,1,16
Research & Development,Laboratory Technician,35 - 44,36,Mumbai,Yes,Travel_Rarely,Other,1,Male,2,Very High,Part Time,Divorced,4834,7,No,Excellent,Best,1,0,0,4,9
Research & Development,Research Scientist,25 - 34,26,Pune,Yes,Travel_Frequently,Life Sciences,1,Male,1,Low,Part Time,Married,2042,6,Yes,Excellent,Bad,3,2,1,4,8
Sales,Sales Representative,25 - 34,34,Mumbai,No,Travel_Rarely,Life Sciences,3,Female,1,Medium,Full Time,Married,2220,1,Yes,Excellent,Better,1,1,0,7,16
Sales,Sales Representative,25 - 34,28,Pune,No,Travel_Rarely,Medical,4,Male,1,High,Full Time,Married,1052,1,No,Outstanding,Best,1,0,0,8,7
Research & Development,Research Scientist,35 - 44,38,Hyderabad,No,Travel_Frequently,Other,3,Male,1,Very High,Part Time,Married,2821,3,No,Excellent,Better,2,2,2,10,12
Research & Development,Research Director,45 - 54,50,Mumbai,No,Travel_Rarely,Medical,2,Male,5,Very High,Part Time,Married,19237,2,Yes,Low,Good,8,1,7,3,6
Research & Development,Healthcare Representative,35 - 44,37,Hyderabad,No,Travel_Rarely,Other,4,Female,2,Very High,Part Time,Single,4107,3,No,Excellent,Better,4,3,0,5,19
Sales,Sales Executive,35 - 44,40,Hyderabad,No,Travel_Rarely,Marketing,3,Male,2,Medium,Full Time,Married,8396,1,No,Excellent,Bad,7,7,7,7,8
Research & Development,Research Scientist,25 - 34,26,Mumbai,No,Travel_Frequently,Medical,1,Female,1,Medium,Full Time,Divorced,2007,1,No,Good,Bad,5,3,1,6,10
Research & Development,Research Director,45 - 54,46,Banglore,No,Travel_Rarely,Medical,4,Male,5,High,Part Time,Divorced,19627,9,No,Low,Best,2,2,2,2,6
Sales,Sales Executive,45 - 54,54,Pune,No,Travel_Rarely,Life Sciences,3,Female,3,Low,Full Time,Married,10686,6,No,Low,Better,9,4,7,10,5
Research & Development,Research Scientist,Over 55,56,Banglore,No,Travel_Frequently,Medical,1,Female,1,Medium,Full Time,Married,2942,2,No,Outstanding,Bad,5,4,0,5,13
Research & Development,Manufacturing Director,35 - 44,36,Pune,No,Travel_Rarely,Medical,4,Female,3,Low,Full Time,Single,8858,0,No,Good,Best,14,8,7,3,14
Research & Development,Manager,Over 55,55,Pune,No,Non-Travel,Medical,3,Male,4,High,Part Time,Single,16756,7,No,Outstanding,Good,9,7,6,8,15
Sales,Sales Executive,35 - 44,43,Pune,No,Travel_Rarely,Medical,3,Male,3,Medium,Full Time,Divorced,10798,5,No,Excellent,Bad,1,0,0,8,20
Sales,Sales Representative,Under 25,20,Mumbai,Yes,Travel_Frequently,Marketing,4,Female,1,Medium,Part Time,Single,2323,1,Yes,Excellent,Good,2,2,0,12,12
Research & Development,Laboratory Technician,Under 25,21,Pune,Yes,Travel_Rarely,Life Sciences,3,Female,1,Very High,Full Time,Single,1416,1,No,Outstanding,Bad,1,0,1,11,15
Research & Development,Research Scientist,45 - 54,46,Pune,No,Travel_Rarely,Life Sciences,4,Female,2,Very High,Full Time,Divorced,4615,8,Yes,Low,Bad,16,13,1,5,20
Research & Development,Research Scientist,45 - 54,51,Pune,Yes,Travel_Rarely,Life Sciences,1,Male,1,Medium,Full Time,Married,2461,9,Yes,Good,Good,10,0,2,1,12
Research & Development,Healthcare Representative,25 - 34,28,Mumbai,Yes,Non-Travel,Technical Degree,2,Male,3,High,Part Time,Single,8722,1,No,Good,Best,10,7,1,7,5
Research & Development,Laboratory Technician,25 - 34,26,Banglore,No,Travel_Rarely,Medical,1,Male,1,Low,Part Time,Married,3955,1,No,Excellent,Bad,5,3,1,5,13
Research & Development,Manufacturing Director,25 - 34,30,Pune,No,Travel_Rarely,Other,3,Male,2,Low,Full Time,Married,9957,0,No,Low,Good,6,2,0,2,5
Research & Development,Research Scientist,35 - 44,41,Mumbai,No,Travel_Rarely,Technical Degree,2,Female,1,High,Part Time,Married,3376,1,No,Low,Bad,10,6,0,5,5
Research & Development,Healthcare Representative,35 - 44,38,Mumbai,No,Travel_Rarely,Life Sciences,3,Female,3,Low,Full Time,Married,8823,0,No,Good,Good,19,9,1,12,14
Research & Development,Healthcare Representative,35 - 44,40,Mumbai,No,Travel_Rarely,Technical Degree,1,Male,3,High,Full Time,Married,10322,4,No,Excellent,Best,11,10,11,5,6
Research & Development,Laboratory Technician,25 - 34,27,Banglore,No,Non-Travel,Life Sciences,1,Male,1,Medium,Part Time,Married,4621,1,No,Low,Good,3,2,1,2,19
Research & Development,Manufacturing Director,Over 55,55,Banglore,No,Travel_Frequently,Life Sciences,4,Male,3,Very High,Part Time,Married,10976,3,No,Good,Best,3,2,1,9,17
Research & Development,Research Scientist,25 - 34,28,Hyderabad,No,Travel_Rarely,Other,3,Female,2,Very High,Full Time,Single,3660,3,No,Excellent,Best,8,7,1,1,13
Human Resources,Human Resources,35 - 44,44,Banglore,Yes,Travel_Rarely,Medical,2,Male,3,High,Part Time,Married,10482,9,No,Outstanding,Bad,20,6,3,10,19
Research & Development,Healthcare Representative,25 - 34,33,Pune,No,Travel_Rarely,Life Sciences,4,Male,3,Very High,Part Time,Divorced,7119,4,No,Low,Bad,3,2,1,7,7
Sales,Sales Executive,35 - 44,35,Banglore,Yes,Travel_Rarely,Technical Degree,4,Male,3,Medium,Full Time,Single,9582,0,Yes,Good,Bad,8,7,4,4,20
Research & Development,Research Scientist,25 - 34,33,Banglore,Yes,Travel_Frequently,Medical,1,Female,2,Low,Part Time,Single,4508,1,No,Low,Better,13,7,3,1,6
Research & Development,Laboratory Technician,25 - 34,28,Banglore,No,Travel_Rarely,Life Sciences,1,Male,1,Low,Part Time,Divorced,2207,1,No,Low,Best,4,2,2,3,20
Research & Development,Healthcare Representative,25 - 34,34,Pune,No,Travel_Frequently,Life Sciences,1,Male,2,Medium,Full Time,Single,7756,0,No,Excellent,Bad,6,2,0,2,11
Sales,Sales Executive,35 - 44,37,Pune,No,Travel_Rarely,Life Sciences,4,Female,2,Medium,Full Time,Divorced,6694,2,Yes,Excellent,Good,1,0,0,5,12
Research & Development,Laboratory Technician,25 - 34,25,Hyderabad,Yes,Travel_Rarely,Technical Degree,4,Male,1,Medium,Full Time,Married,3691,1,Yes,Outstanding,Better,7,7,5,6,10
Research & Development,Laboratory Technician,25 - 34,26,Banglore,Yes,Travel_Rarely,Medical,1,Male,1,High,Part Time,Divorced,2377,1,No,Excellent,Bad,1,1,0,9,8
Research & Development,Research Scientist,25 - 34,33,Mumbai,Yes,Travel_Rarely,Medical,1,Male,1,Very High,Full Time,Single,2313,4,Yes,Excellent,Bad,2,2,2,12,11
Research & Development,Manager,35 - 44,42,Mumbai,No,Travel_Rarely,Medical,4,Male,4,Medium,Full Time,Married,17665,0,No,Good,Best,22,6,13,1,7
Research & Development,Laboratory Technician,25 - 34,28,Banglore,Yes,Travel_Frequently,Medical,1,Male,1,Medium,Part Time,Divorced,2596,1,No,Excellent,Bad,1,0,0,6,6
Sales,Sales Executive,45 - 54,50,Hyderabad,Yes,Travel_Frequently,Other,4,Male,2,High,Full Time,Single,4728,3,Yes,Good,Bad,0,0,0,7,7
Sales,Sales Executive,25 - 34,33,Pune,No,Travel_Frequently,Life Sciences,4,Female,2,High,Full Time,Married,4302,0,No,Excellent,Better,3,2,0,5,17
Research & Development,Research Scientist,25 - 34,34,Pune,No,Non-Travel,Life Sciences,3,Male,1,Low,Full Time,Married,2979,3,No,Outstanding,Bad,0,0,0,12,14
Research & Development,Manager,45 - 54,48,Hyderabad,No,Non-Travel,Medical,1,Male,4,High,Full Time,Single,16885,2,No,Low,Better,5,4,2,9,16
Sales,Sales Executive,45 - 54,45,Pune,No,Non-Travel,Life Sciences,2,Female,2,Medium,Part Time,Married,5593,1,No,Outstanding,Bad,15,10,4,9,19
Research & Development,Healthcare Representative,45 - 54,52,Banglore,No,Travel_Rarely,Life Sciences,2,Male,3,Medium,Part Time,Single,10445,7,No,Excellent,Bad,8,6,4,12,17
Sales,Sales Executive,35 - 44,38,Mumbai,No,Travel_Rarely,Marketing,3,Male,3,Very High,Part Time,Divorced,8740,0,Yes,Outstanding,Bad,8,7,2,7,6
Research & Development,Research Scientist,25 - 34,29,Banglore,No,Travel_Rarely,Life Sciences,3,Female,1,Medium,Full Time,Divorced,2514,4,No,Outstanding,Best,7,5,1,4,13
Research & Development,Manufacturing Director,25 - 34,28,Mumbai,No,Travel_Rarely,Medical,4,Female,3,Medium,Full Time,Divorced,7655,0,No,Good,Good,9,7,1,4,17
Sales,Manager,45 - 54,46,Pune,No,Travel_Rarely,Marketing,1,Male,4,Low,Full Time,Married,17465,3,No,Low,Best,12,9,4,1,6
Sales,Sales Executive,35 - 44,38,Mumbai,No,Travel_Rarely,Marketing,4,Male,3,Low,Part Time,Single,7351,7,No,Outstanding,Best,1,0,0,4,6
Research & Development,Manufacturing Director,35 - 44,43,Banglore,No,Travel_Frequently,Life Sciences,3,Female,3,Medium,Part Time,Married,10820,8,No,Outstanding,Better,8,7,0,5,18
Research & Development,Healthcare Representative,35 - 44,39,Hyderabad,Yes,Travel_Frequently,Life Sciences,1,Male,4,Medium,Part Time,Divorced,12169,7,No,Excellent,Bad,18,7,11,7,5
Research & Development,Research Director,35 - 44,40,Banglore,No,Travel_Rarely,Medical,3,Male,5,High,Full Time,Single,19626,1,No,Excellent,Best,20,7,4,3,7
Research & Development,Research Scientist,Under 25,21,Mumbai,No,Travel_Rarely,Technical Degree,4,Female,1,High,Full Time,Single,2070,1,Yes,Excellent,Good,2,2,2,1,19
Research & Development,Laboratory Technician,35 - 44,39,Mumbai,No,Non-Travel,Life Sciences,3,Male,2,Very High,Full Time,Single,6782,9,No,Outstanding,Good,5,4,0,10,5
Research & Development,Manufacturing Director,35 - 44,36,Pune,No,Non-Travel,Life Sciences,1,Male,2,Low,Full Time,Single,7779,2,No,Good,Bad,11,9,0,4,20
Sales,Sales Representative,25 - 34,31,Hyderabad,No,Travel_Frequently,Life Sciences,3,Male,1,High,Part Time,Married,2791,0,No,Outstanding,Bad,2,2,2,12,11
Research & Development,Research Scientist,25 - 34,28,Hyderabad,No,Travel_Rarely,Life Sciences,1,Male,1,Low,Full Time,Married,3201,0,No,Low,Good,5,3,0,2,5
Sales,Sales Executive,35 - 44,35,Hyderabad,No,Travel_Frequently,Marketing,4,Male,2,Low,Full Time,Divorced,4968,1,No,Outstanding,Bad,5,2,0,7,19
Sales,Sales Executive,45 - 54,49,Mumbai,No,Travel_Rarely,Technical Degree,4,Male,4,Low,Part Time,Married,13120,6,No,Low,Better,9,8,2,3,11
Research & Development,Manufacturing Director,25 - 34,34,Mumbai,No,Travel_Frequently,Life Sciences,4,Male,2,Low,Part Time,Single,4033,2,No,Low,Bad,3,2,0,3,17
Research & Development,Research Scientist,25 - 34,29,Hyderabad,No,Travel_Frequently,Life Sciences,4,Female,1,High,Full Time,Divorced,3291,0,No,Outstanding,Best,7,5,1,6,20
Research & Development,Laboratory Technician,35 - 44,42,Banglore,No,Travel_Rarely,Medical,2,Male,2,Very High,Part Time,Single,4272,4,No,Good,Best,1,0,0,2,18
Research & Development,Manufacturing Director,25 - 34,29,Hyderabad,No,Travel_Rarely,Medical,2,Male,2,Low,Part Time,Married,5056,1,Yes,Outstanding,Bad,10,7,1,4,19
Human Resources,Human Resources,35 - 44,38,Pune,No,Travel_Rarely,Human Resources,3,Male,1,High,Full Time,Married,2844,1,No,Low,Good,7,6,5,12,9
Research & Development,Research Scientist,25 - 34,28,Banglore,No,Travel_Frequently,Life Sciences,3,Male,1,Medium,Part Time,Divorced,2703,1,Yes,Good,Good,3,1,0,5,19
Research & Development,Laboratory Technician,Under 25,18,Banglore,Yes,Non-Travel,Medical,3,Male,1,Medium,Full Time,Single,1904,1,No,Good,Bad,0,0,0,1,6
Sales,Sales Executive,25 - 34,33,Banglore,Yes,Travel_Rarely,Marketing,1,Female,2,Very High,Part Time,Single,8224,0,Yes,Outstanding,Good,5,2,0,1,10
Research & Development,Laboratory Technician,35 - 44,41,Banglore,No,Travel_Rarely,Life Sciences,2,Male,1,Very High,Part Time,Married,4766,3,Yes,Low,Best,1,0,0,1,16
Research & Development,Laboratory Technician,25 - 34,31,Banglore,Yes,Travel_Frequently,Medical,3,Male,1,High,Part Time,Married,2610,1,No,Outstanding,Good,2,2,2,5,9
Research & Development,Healthcare Representative,35 - 44,37,Banglore,No,Travel_Rarely,Medical,3,Female,2,Low,Part Time,Divorced,5731,7,No,Excellent,Bad,6,2,1,12,11
Research & Development,Research Scientist,25 - 34,27,Hyderabad,No,Travel_Rarely,Life Sciences,4,Male,1,Very High,Part Time,Married,2539,1,No,Excellent,Good,4,2,2,8,12
Sales,Sales Executive,25 - 34,34,Pune,No,Travel_Rarely,Life Sciences,2,Female,2,Medium,Full Time,Married,5714,1,No,Outstanding,Bad,6,5,1,8,7
Human Resources,Human Resources,35 - 44,35,Pune,No,Travel_Rarely,Technical Degree,3,Male,1,Very High,Full Time,Single,4323,1,No,Low,Good,5,4,1,5,11
Sales,Sales Executive,25 - 34,29,Hyderabad,Yes,Travel_Rarely,Life Sciences,4,Female,3,Low,Full Time,Married,7336,1,No,Low,Better,11,8,3,2,14
Research & Development,Research Director,35 - 44,40,Banglore,No,Travel_Frequently,Medical,2,Female,3,Low,Full Time,Single,13499,9,No,Low,Bad,18,7,2,2,13
Sales,Sales Executive,35 - 44,42,Mumbai,Yes,Travel_Frequently,Life Sciences,3,Male,4,Very High,Full Time,Single,13758,0,Yes,Excellent,Best,21,9,13,1,20
Sales,Sales Executive,35 - 44,42,Mumbai,No,Travel_Rarely,Marketing,2,Male,2,Very High,Part Time,Single,5155,7,No,Low,Best,6,4,1,11,15
Research & Development,Laboratory Technician,35 - 44,35,Banglore,No,Travel_Rarely,Medical,4,Male,1,Very High,Full Time,Married,2258,6,No,Excellent,Good,8,0,1,9,18
Research & Development,Laboratory Technician,Under 25,24,Banglore,No,Travel_Rarely,Medical,4,Male,1,Very High,Part Time,Single,3597,8,No,Outstanding,Better,4,3,1,4,16
Research & Development,Laboratory Technician,25 - 34,28,Pune,Yes,Travel_Rarely,Life Sciences,3,Female,1,Medium,Full Time,Married,2515,1,Yes,Excellent,Better,1,1,0,1,20
Research & Development,Laboratory Technician,25 - 34,26,Mumbai,No,Travel_Rarely,Medical,1,Male,1,Low,Part Time,Married,4420,1,No,Good,Best,8,7,0,9,9
Sales,Sales Executive,25 - 34,30,Hyderabad,No,Travel_Rarely,Marketing,3,Male,2,Medium,Part Time,Married,6578,1,No,Good,Better,10,3,1,3,10
Research & Development,Research Scientist,35 - 44,40,Pune,No,Travel_Frequently,Medical,3,Female,2,Very High,Full Time,Married,4422,3,Yes,Excellent,Best,1,1,0,1,10
Research & Development,Manufacturing Director,35 - 44,35,Banglore,No,Travel_Rarely,Life Sciences,3,Male,3,High,Full Time,Divorced,10274,2,No,Outstanding,Better,7,7,6,7,16
Research & Development,Healthcare Representative,25 - 34,34,Pune,No,Travel_Frequently,Medical,4,Male,2,High,Full Time,Single,5343,0,No,Excellent,Bad,13,9,4,7,18
Research & Development,Laboratory Technician,35 - 44,35,Pune,No,Travel_Frequently,Other,4,Male,1,Medium,Full Time,Married,2376,1,No,Good,Good,2,2,2,12,13
Sales,Sales Executive,35 - 44,43,Hyderabad,Yes,Travel_Rarely,Marketing,1,Female,2,Low,Part Time,Single,5346,8,No,Low,Best,4,3,1,4,8
Sales,Sales Representative,25 - 34,32,Mumbai,No,Non-Travel,Life Sciences,3,Female,1,Low,Part Time,Divorced,2827,1,No,Excellent,Best,1,0,0,4,6
Research & Development,Manager,Over 55,56,Mumbai,No,Travel_Rarely,Technical Degree,4,Female,5,Medium,Part Time,Divorced,19943,4,No,Outstanding,Best,5,2,4,12,19
Research & Development,Laboratory Technician,25 - 34,29,Hyderabad,No,Travel_Rarely,Medical,2,Female,1,Very High,Full Time,Married,3131,1,No,Good,Bad,10,8,0,12,17
Research & Development,Research Scientist,Under 25,19,Banglore,No,Travel_Rarely,Life Sciences,3,Male,1,Very High,Full Time,Single,2552,1,No,Good,Better,1,1,0,9,6
Research & Development,Research Scientist,45 - 54,45,Mumbai,No,Travel_Rarely,Medical,1,Female,1,Low,Part Time,Married,4477,4,Yes,Good,Better,3,2,0,7,9
Research & Development,Manufacturing Director,35 - 44,37,Pune,No,Travel_Rarely,Life Sciences,4,Female,2,Very High,Full Time,Married,6474,1,No,Excellent,Better,14,8,3,9,7
Research & Development,Laboratory Technician,Under 25,20,Banglore,No,Travel_Rarely,Life Sciences,1,Male,1,Very High,Part Time,Single,3033,1,No,Good,Better,2,2,1,3,16
Research & Development,Research Scientist,35 - 44,44,Banglore,Yes,Travel_Rarely,Life Sciences,3,Male,1,Medium,Part Time,Single,2936,1,Yes,Low,Best,6,4,0,4,14
Research & Development,Manager,45 - 54,53,Pune,No,Travel_Rarely,Medical,4,Female,5,Medium,Full Time,Divorced,18606,3,No,Good,Good,7,7,4,5,12
Research & Development,Research Scientist,25 - 34,29,Banglore,No,Travel_Rarely,Life Sciences,2,Female,1,Very High,Full Time,Married,2168,0,Yes,Good,Better,5,4,1,3,6
Research & Development,Research Scientist,Under 25,22,Banglore,Yes,Travel_Frequently,Life Sciences,3,Male,1,Medium,Part Time,Married,2853,0,Yes,Excellent,Best,0,0,0,4,8
Sales,Manager,45 - 54,46,Mumbai,No,Travel_Rarely,Marketing,3,Female,4,Low,Part Time,Married,17048,8,No,Outstanding,Bad,26,15,15,5,13
Research & Development,Research Scientist,35 - 44,44,Hyderabad,No,Non-Travel,Life Sciences,4,Male,1,Low,Full Time,Single,2290,2,No,Outstanding,Good,0,0,0,11,13
Human Resources,Human Resources,25 - 34,33,Pune,No,Travel_Rarely,Human Resources,2,Male,1,High,Part Time,Married,3600,1,No,Good,Good,5,4,1,2,8
Research & Development,Research Scientist,35 - 44,41,Hyderabad,Yes,Non-Travel,Life Sciences,1,Male,1,High,Full Time,Divorced,2107,6,No,Low,Better,1,0,0,12,5
Sales,Sales Executive,25 - 34,30,Mumbai,No,Travel_Rarely,Life Sciences,3,Male,2,High,Full Time,Divorced,4115,8,No,Low,Bad,4,3,0,2,11
Sales,Sales Executive,35 - 44,40,Mumbai,No,Travel_Frequently,Medical,2,Male,2,High,Part Time,Married,4327,5,No,Low,Bad,0,0,0,3,20
Research & Development,Manager,45 - 54,50,Hyderabad,No,Travel_Frequently,Medical,4,Female,4,Medium,Part Time,Married,17856,2,No,Low,Best,2,2,2,4,12
Research & Development,Laboratory Technician,25 - 34,28,Hyderabad,No,Travel_Rarely,Medical,4,Male,1,Low,Full Time,Married,3196,1,No,Outstanding,Best,6,5,3,5,17
Research & Development,Research Director,45 - 54,46,Mumbai,No,Travel_Rarely,Life Sciences,4,Male,5,Low,Part Time,Married,19081,5,No,Low,Good,4,2,0,8,8
Sales,Sales Executive,35 - 44,35,Pune,No,Travel_Rarely,Life Sciences,3,Male,2,Low,Full Time,Married,8966,3,Yes,Excellent,Better,7,7,1,6,5
Research & Development,Laboratory Technician,Under 25,24,Hyderabad,Yes,Travel_Rarely,Life Sciences,4,Female,1,High,Full Time,Married,2210,1,No,Outstanding,Good,1,0,0,2,7
Sales,Sales Executive,25 - 34,33,Banglore,No,Travel_Frequently,Medical,2,Female,2,Very High,Full Time,Married,4539,1,No,Low,Better,10,7,0,11,6
Research & Development,Laboratory Technician,35 - 44,36,Mumbai,No,Travel_Rarely,Life Sciences,3,Male,1,Very High,Full Time,Divorced,2741,1,No,Excellent,Bad,7,7,1,12,16
Research & Development,Laboratory Technician,25 - 34,30,Pune,No,Travel_Rarely,Life Sciences,3,Male,2,Low,Part Time,Divorced,3491,1,No,Outstanding,Best,10,7,8,10,8
Research & Development,Research Scientist,35 - 44,44,Mumbai,No,Travel_Rarely,Other,4,Male,2,Medium,Part Time,Single,4541,1,No,Low,Bad,20,11,13,8,12
Sales,Sales Representative,Under 25,20,Hyderabad,No,Travel_Rarely,Marketing,3,Male,1,Low,Part Time,Single,2678,1,No,Low,Best,2,1,2,4,13
Research & Development,Manufacturing Director,45 - 54,46,Hyderabad,No,Travel_Rarely,Technical Degree,4,Male,2,Medium,Full Time,Divorced,7379,2,No,Outstanding,Better,6,3,1,4,11
Human Resources,Human Resources,35 - 44,42,Hyderabad,No,Non-Travel,Medical,4,Male,2,Medium,Full Time,Married,6272,7,No,Good,Best,4,3,0,6,13
Sales,Sales Executive,Over 55,60,Mumbai,No,Travel_Rarely,Marketing,2,Male,2,Medium,Part Time,Divorced,5220,0,Yes,Outstanding,Bad,11,7,1,7,10
Research & Development,Laboratory Technician,25 - 34,32,Pune,No,Travel_Frequently,Other,3,Female,1,Medium,Part Time,Married,2743,1,No,Good,Good,2,2,2,5,11
Research & Development,Research Scientist,25 - 34,32,Pune,No,Travel_Frequently,Life Sciences,4,Female,2,High,Part Time,Single,4998,4,Yes,Low,Best,8,7,0,4,18
Research & Development,Manufacturing Director,35 - 44,36,Hyderabad,No,Travel_Rarely,Technical Degree,3,Female,3,High,Part Time,Divorced,10252,2,Yes,Low,Better,7,7,7,1,5
Research & Development,Research Scientist,25 - 34,33,Mumbai,No,Travel_Rarely,Medical,1,Male,1,Medium,Full Time,Married,2781,0,No,Outstanding,Bad,14,10,4,8,10
Sales,Sales Executive,35 - 44,40,Pune,No,Travel_Rarely,Technical Degree,2,Female,2,Medium,Part Time,Divorced,6852,7,No,Excellent,Bad,5,1,1,7,12
Sales,Sales Executive,25 - 34,25,Banglore,No,Travel_Rarely,Life Sciences,3,Male,2,Medium,Full Time,Single,4950,0,No,Outstanding,Better,4,3,1,9,16
Research & Development,Research Scientist,25 - 34,30,Mumbai,No,Travel_Rarely,Medical,4,Male,1,Very High,Part Time,Married,3579,0,Yes,Excellent,Bad,11,9,5,5,18
Research & Development,Research Director,35 - 44,42,Pune,No,Travel_Frequently,Medical,1,Female,3,Very High,Part Time,Married,13191,3,Yes,Low,Good,1,0,0,6,10
Sales,Sales Executive,35 - 44,35,Hyderabad,No,Non-Travel,Marketing,3,Female,3,Very High,Part Time,Married,10377,4,Yes,Good,Good,13,2,4,4,17
Research & Development,Research Scientist,25 - 34,27,Mumbai,No,Travel_Rarely,Life Sciences,1,Male,1,Very High,Full Time,Married,2235,1,Yes,Low,Best,9,7,6,1,11
Research & Development,Manufacturing Director,45 - 54,54,Banglore,No,Travel_Frequently,Life Sciences,4,Female,3,Very High,Part Time,Divorced,10502,7,No,Good,Good,5,4,1,4,19
Research & Development,Research Scientist,35 - 44,44,Mumbai,No,Travel_Rarely,Life Sciences,1,Female,1,High,Part Time,Married,2011,1,No,Excellent,Best,10,5,7,7,19
Research & Development,Research Scientist,Under 25,19,Banglore,Yes,Non-Travel,Medical,1,Female,1,High,Full Time,Single,1859,1,Yes,Good,Bad,1,1,0,6,17
Research & Development,Research Scientist,25 - 34,29,Hyderabad,No,Travel_Rarely,Life Sciences,1,Female,1,Very High,Part Time,Divorced,3760,1,No,Good,Better,3,2,1,12,18
